setup,metric,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
src,XMoverScore_UMD,0.3,xpaws-de,adv,11.698524696636724,-4.958346670400937,0.7612119152515797,0.8946208839637555,0.8502624791510272
src,XMoverScore_UMD,0.4,xpaws-de,adv,12.949508519079655,-3.893913893903056,0.7612119152515797,0.8946208839637555,0.8597851170653324
src,XMoverScore_UMD,0.5,xpaws-de,adv,14.666203091150809,-2.433218769820511,0.7612119152515797,0.8946208839637555,0.8728528006964152
src,XMoverScore_UMD,0.6,xpaws-de,adv,14.769136677740292,-2.3456349966312184,0.7612119152515797,0.8946208839637555,0.8736363434223301
src,XMoverScore_UMD,0.7,xpaws-de,adv,15.363111735907742,-1.8402355590101949,0.7612119152515797,0.8946208839637555,0.8781577523387232
src,XMoverScore_UMD,0.8,xpaws-de,adv,16.022078492843384,-1.2795362101288732,0.7612119152515797,0.8946208839637555,0.8831738858100643
src,XMoverScore_UMD,0.9,xpaws-de,adv,17.717307580993523,0.16289443743606746,0.7612119152515797,0.8946208839637555,0.8960781716198739
src,XMoverScore_UMD,0.1,xpaws-fr,adv,6.6910503962998025,-10.40054313398585,0.7741946012043535,0.9218765169208035,0.825996352136369
src,XMoverScore_UMD,0.2,xpaws-fr,adv,11.211880588893642,-6.603936686347611,0.7741946012043535,0.9218765169208035,0.860996375417047
src,XMoverScore_UMD,0.3,xpaws-fr,adv,13.086058205175366,-5.029996830422212,0.7741946012043535,0.9218765169208035,0.8755061573392804
src,XMoverScore_UMD,0.4,xpaws-fr,adv,13.6819686743179,-4.529549471645488,0.7741946012043535,0.9218765169208035,0.8801196640193935
src,XMoverScore_UMD,0.5,xpaws-fr,adv,14.214563007145674,-4.082275189744323,0.7741946012043535,0.9218765169208035,0.8842429805904665
src,XMoverScore_UMD,0.6,xpaws-fr,adv,14.930846336073756,-3.4807383504710465,0.7741946012043535,0.9218765169208035,0.8897884074523544
src,XMoverScore_UMD,0.7,xpaws-fr,adv,16.10051878112799,-2.4984440024566568,0.7741946012043535,0.9218765169208035,0.8988439483737394
src,XMoverScore_UMD,0.8,xpaws-fr,adv,16.09643756189758,-2.501871422329638,0.7741946012043535,0.9218765169208035,0.8988123517947941
src,XMoverScore_UMD,0.9,xpaws-fr,adv,16.875795564821637,-1.8473642869438978,0.7741946012043535,0.9218765169208035,0.9048460993774863
src,XMoverScore_UMD,0.1,xpaws-zh,adv,7.339813682358587,-8.203845297318313,0.720530415634869,0.8425363874687423,0.7734160056671923
src,XMoverScore_UMD,0.2,xpaws-zh,adv,9.954279343750594,-5.967975063481368,0.720530415634869,0.8425363874687423,0.792254025963851
src,XMoverScore_UMD,0.3,xpaws-zh,adv,11.973604753175614,-4.241064038396347,0.720530415634869,0.8425363874687423,0.8068038797294017
src,XMoverScore_UMD,0.4,xpaws-zh,adv,12.246672046020478,-4.007539061984467,0.720530415634869,0.8425363874687423,0.8087714126294996
src,XMoverScore_UMD,0.5,xpaws-zh,adv,12.307280348444195,-3.955707323930413,0.720530415634869,0.8425363874687423,0.8092081138828625
src,XMoverScore_UMD,0.6,xpaws-zh,adv,12.13586228293575,-4.102302689810333,0.720530415634869,0.8425363874687423,0.8079729945829812
src,XMoverScore_UMD,0.7,xpaws-zh,adv,12.855165368149436,-3.4871604138624113,0.720530415634869,0.8425363874687423,0.8131557920925458
src,XMoverScore_UMD,0.8,xpaws-zh,adv,14.690564335706412,-1.9175418186077486,0.720530415634869,0.8425363874687423,0.8263803999020422
