setup,metric,nli,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
ref,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.4,summ_google,adv,31.177772641610076,-2.670285529604977,0.698274363749224,0.941111111111111,0.9159807572936064
ref,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.5,summ_google,adv,32.05294598727022,-2.020934880254321,0.698274363749224,0.941111111111111,0.9220918684047176
ref,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.6,summ_google,adv,32.53031326672118,-1.6667436169721634,0.698274363749224,0.941111111111111,0.9254252017380508
ref,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.7,summ_google,adv,32.21206841375388,-1.9028711258269229,0.698274363749224,0.941111111111111,0.9232029795158287
ref,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.8,summ_google,adv,33.17613696974008,-1.1875630717682446,0.698274363749224,0.941111111111111,0.9299348230912476
ref,DiscoScore_DS_Focus_NN,NLI1Score_monolingual,0.9,summ_google,adv,33.41482060946556,-1.010467440127166,0.698274363749224,0.941111111111111,0.9316014897579142
ref,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.1,summ_google,adv,18.227962877360167,-7.529558182949603,0.698274363749224,0.8927777777777778,0.8255555555555555
ref,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.2,summ_google,adv,25.0702272161576,-2.1779713752333585,0.698274363749224,0.8927777777777778,0.8733333333333333
ref,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.3,summ_google,adv,27.05925754720335,-0.6222775357809686,0.698274363749224,0.8927777777777778,0.8872222222222221
ref,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.4,summ_google,adv,28.25267574583084,0.3111387678904904,0.698274363749224,0.8927777777777778,0.8955555555555557
ref,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.5,summ_google,adv,28.41179817231449,0.4355942750466767,0.698274363749224,0.8927777777777778,0.8966666666666667
ref,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.6,summ_google,adv,28.491359385556336,0.4978220286247822,0.698274363749224,0.8927777777777778,0.8972222222222224
ref,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.7,summ_google,adv,29.20741030473277,1.057871810827608,0.698274363749224,0.8927777777777778,0.902222222222222
ref,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.8,summ_google,adv,28.9687266650073,0.8711885500933411,0.698274363749224,0.8927777777777778,0.9005555555555556
ref,DiscoScore_DS_Focus_NN,NLI2Score_monolingual,0.9,summ_google,adv,29.286971517974624,1.120099564405726,0.698274363749224,0.8927777777777778,0.9027777777777778
src,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,realsumm,sum-summary,3.5065756019365457,-38.730058321860476,0.1776633048852869,0.3001360829654579,0.1838932029879885
src,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,realsumm,sum-summary,7.424013887898694,-36.411160088460505,0.1776633048852869,0.3001360829654579,0.1908530533136704
src,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,realsumm,sum-summary,10.054440985246709,-34.854098482414145,0.1776633048852869,0.3001360829654579,0.195526357027417
src,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,realsumm,sum-summary,10.949468827088674,-34.324293459389665,0.1776633048852869,0.3001360829654579,0.1971164930708769
src,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,realsumm,sum-summary,34.47629529167879,-20.39776485988515,0.1776633048852869,0.3001360829654579,0.238915030502494
src,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,realsumm,sum-summary,36.55728437886963,-19.1659389660852,0.1776633048852869,0.3001360829654579,0.2426121844890994
src,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,realsumm,sum-summary,43.217632448077936,-15.223395843744022,0.1776633048852869,0.3001360829654579,0.2544451789857183
src,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,realsumm,sum-summary,65.14035047201784,-2.246407213391095,0.1776633048852869,0.3001360829654579,0.2933938043477324
src,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,realsumm,sum-summary,36.86465172369067,-18.983995169940552,0.1776633048852869,0.3001360829654579,0.2431582634720466
src,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,realsumm,sum-system,32.135553551974795,-102.27317957129942,-0.0230423130244021,0.6879147771811381,-0.0156375381828317
src,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,realsumm,sum-system,72.31100968290204,-100.92746718544208,-0.0230423130244021,0.6879147771811381,-0.0063801838221621
