setup,metric,nli_metric,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,paws_back_google,adv-fact,20.518682574837467,0.6263421617752352,0.7776111111111111,0.9313333333333333,0.9371666666666667
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,paws_back_google,adv-fact,20.582982067585903,0.6800286327845348,0.7776111111111111,0.9313333333333333,0.9376666666666666
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,paws_back_google,adv-fact,20.6187040080017,0.7098544500119197,0.7776111111111111,0.9313333333333333,0.9379444444444444
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,paws_back_google,adv-fact,20.647281560334356,0.7337151037938466,0.7776111111111111,0.9313333333333333,0.9381666666666667
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,paws_back_google,adv-fact,20.42580552975638,0.5487950369840204,0.7776111111111111,0.9313333333333333,0.9364444444444445
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,paws_ori_google,adv-all,13.682153977654309,-7.881066640281002,0.6824583333333334,0.8422083333333333,0.7758333333333334
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,paws_ori_google,adv-all,21.91220465229866,-1.2120912284173602,0.6824583333333334,0.8422083333333333,0.832
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,paws_ori_google,adv-all,25.2274253617437,1.4742987186464247,0.6824583333333334,0.8422083333333333,0.8546250000000001
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,paws_ori_google,adv-all,26.131021429879723,2.2065007668332335,0.6824583333333334,0.8422083333333333,0.8607916666666667
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,paws_ori_google,adv-all,26.051651504975855,2.142185722060042,0.6824583333333334,0.8422083333333333,0.8602499999999998
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,paws_ori_google,adv-all,25.532694303681513,1.7216642754662659,0.6824583333333334,0.8422083333333333,0.8567083333333332
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,paws_ori_google,adv-all,25.221319982904916,1.469351407510008,0.6824583333333334,0.8422083333333333,0.8545833333333333
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,paws_ori_google,adv-all,24.78783808535318,1.1180923168258008,0.6824583333333334,0.8422083333333333,0.851625
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,paws_ori_google,adv-all,24.421515355027758,0.8212536486419517,0.6824583333333334,0.8422083333333333,0.8491249999999999
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,paws_ori_google,adv-fact,19.494372585251128,-13.932244404113739,0.6614444444444445,0.9183333333333334,0.7903888888888889
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,paws_ori_google,adv-fact,31.2951453048883,-5.432546884452508,0.6614444444444445,0.9183333333333334,0.8684444444444446
